scenMAGNET,scenagCLIM50
SSP1_CC26_m,SSP1_CC26_M
SSP1_CC6,SSP1_CC6
SSP2_CC26_m,SSP2_CC26_M
SSP2_CC26_m_C02_NSD,SSP2_CC26_M_C02_NSD
SSP2_CC26_m_CO2,SSP2_CC26_M_CO2
SSP2_CC26_m_CO2_PSD,SSP2_CC26_M_CO2_PSD
SSP2_CC26_m_NSD,SSP2_CC26_M_NSD
SSP2_CC26_m_PSD,SSP2_CC26_M_PSD
SSP2_CC6,SSP2_CC6
SSP2_CC6_CO2,SSP2_CC6_CO2
SSP2_CC6_CO2_NSD,SSP2_CC6_CO2_NSD
SSP2_CC6_CO2_PSD,SSP2_CC6_CO2_PSD
SSP2_CC6_NSD,SSP2_CC6_NSD
SSP2_CC6_PSD,SSP2_CC6_PSD
SSP3_CC26_m,SSP3_CC26_M
SSP3_CC6,SSP3_CC6
